INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182070388,1874,Drug Violation,DRUGS - OTHER,C6,177,,01-09-2018 19:29,2018,9,Saturday,19,Part Two,,,,"(0.00000000, 0.00000000)"
I182070387,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,280,,01-09-2018 20:20,2018,9,Saturday,20,Part Three,WARREN ST,42.32978737,-71.08324801,"(42.32978737, -71.08324801)"
I182070386,2405,Disorderly Conduct,DISORDERLY CONDUCT,B3,469,,01-09-2018 21:00,2018,9,Saturday,21,Part Two,WALK HILL ST,42.2790573,-71.09584789,"(42.27905730, -71.09584789)"
I182070385,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E13,303,,01-09-2018 19:25,2018,9,Saturday,19,Part Three,W WALNUT PARK,42.31865822,-71.1006718,"(42.31865822, -71.10067180)"
I182070384,3112,Landlord/Tenant Disputes,LANDLORD - TENANT SERVICE,E18,519,,01-09-2018 20:01,2018,9,Saturday,20,Part Three,WALTER ST,42.25667872,-71.11853971,"(42.25667872, -71.11853971)"
I182070383,3201,Property Lost,PROPERTY - LOST,, ,,01-09-2018 18:50,2018,9,Saturday,18,Part Three,,42.34284919,-71.08502585,"(42.34284919, -71.08502585)"
I182070381,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,179,,01-09-2018 20:43,2018,9,Saturday,20,Part Two,GERARD ST,42.33176796,-71.07182739,"(42.33176796, -71.07182739)"
I182070381,2610,Other,TRESPASSING,B2,179,,01-09-2018 20:43,2018,9,Saturday,20,Part Two,GERARD ST,42.33176796,-71.07182739,"(42.33176796, -71.07182739)"
I182070380,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,119,,01-09-2018 20:40,2018,9,Saturday,20,Part Two,TREMONT ST,42.35540738,-71.06312433,"(42.35540738, -71.06312433)"
I182070379,2610,Other,TRESPASSING,B2,179,,01-09-2018 16:56,2018,9,Saturday,16,Part Two,GERARD ST,42.33176796,-71.07182739,"(42.33176796, -71.07182739)"
I182070377,3301,Verbal Disputes,VERBAL DISPUTE,C6,915,,01-09-2018 19:24,2018,9,Saturday,19,Part Three,E EIGHTH ST,42.33255367,-71.05064614,"(42.33255367, -71.05064614)"
I182070376,3115,Investigate Person,INVESTIGATE PERSON,A1,77,,01-09-2018 20:08,2018,9,Saturday,20,Part Three,NEW SUDBURY ST,42.36183857,-71.05976489,"(42.36183857, -71.05976489)"
I182070375,3501,Missing Person Reported,MISSING PERSON,C11,358,,01-09-2018 19:08,2018,9,Saturday,19,Part Three,LARCHMONT ST,42.29703368,-71.06860662,"(42.29703368, -71.06860662)"
I182070375,3502,Missing Person Located,MISSING PERSON - LOCATED,C11,358,,01-09-2018 19:08,2018,9,Saturday,19,Part Three,LARCHMONT ST,42.29703368,-71.06860662,"(42.29703368, -71.06860662)"
I182070374,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,, ,,01-09-2018 19:33,2018,9,Saturday,19,Part Three,,42.33151013,-71.10958389,"(42.33151013, -71.10958389)"
I182070373,3112,Landlord/Tenant Disputes,LANDLORD - TENANT SERVICE,B2,290,,01-09-2018 14:49,2018,9,Saturday,14,Part Three,MALCOLM X BLVD,42.33130111,-71.09333508,"(42.33130111, -71.09333508)"
I182070372,2647,Other,THREATS TO DO BODILY HARM,C11,344,,01-09-2018 19:23,2018,9,Saturday,19,Part Two,GENEVA AVE,42.30135087,-71.06796465,"(42.30135087, -71.06796465)"
I182070371,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,A1,112,,01-09-2018 17:05,2018,9,Saturday,17,Part Two,WASHINGTON ST,42.35512339,-71.0608798,"(42.35512339, -71.06087980)"
I182070370,617,Larceny,LARCENY THEFT FROM BUILDING,A1,80,,01-09-2018 18:58,2018,9,Saturday,18,Part One,PRINCE ST,42.36531295,-71.05565803,"(42.36531295, -71.05565803)"
I182070368,3114,Investigate Property,INVESTIGATE PROPERTY,C11,351,,01-09-2018 19:15,2018,9,Saturday,19,Part Three,ADAMS ST,42.29963709,-71.05851176,"(42.29963709, -71.05851176)"
I182070367,3007,Medical Assistance,SUDDEN DEATH,E18,547,,01-09-2018 19:08,2018,9,Saturday,19,Part Three,ASHEVILLE RD,42.26831357,-71.12774478,"(42.26831357, -71.12774478)"
I182070366,613,Larceny,LARCENY SHOPLIFTING,A1,87,,01-09-2018 18:18,2018,9,Saturday,18,Part One,COMMERCIAL ST,42.36628674,-71.05135503,"(42.36628674, -71.05135503)"
I182070365,3115,Investigate Person,INVESTIGATE PERSON,E13,651,,31-08-2018 07:00,2018,8,Friday,7,Part Three,BOYNTON ST,42.30542129,-71.11325289,"(42.30542129, -71.11325289)"
I182070364,2647,Other,THREATS TO DO BODILY HARM,C6,185,,01-09-2018 18:41,2018,9,Saturday,18,Part Two,MASSACHUSETTS AVE,42.32198656,-71.06280666,"(42.32198656, -71.06280666)"
I182070363,3301,Verbal Disputes,VERBAL DISPUTE,B2,611,,01-09-2018 18:35,2018,9,Saturday,18,Part Three,MISSION PARK DR,42.33407624,-71.10842653,"(42.33407624, -71.10842653)"
I182070362,3301,Verbal Disputes,VERBAL DISPUTE,B3,455,,01-09-2018 18:46,2018,9,Saturday,18,Part Three,TRINITY TER,42.3013553,-71.07790746,"(42.30135530, -71.07790746)"
I182070361,3114,Investigate Property,INVESTIGATE PROPERTY,C11,355,,01-09-2018 19:17,2018,9,Saturday,19,Part Three,GIBSON ST,42.29755533,-71.0597091,"(42.29755533, -71.05970910)"
I182070360,619,Larceny,LARCENY ALL OTHERS,A1,112,,01-09-2018 16:30,2018,9,Saturday,16,Part One,WASHINGTON ST,42.35512339,-71.0608798,"(42.35512339, -71.06087980)"
I182070359,3301,Verbal Disputes,VERBAL DISPUTE,B3,406,,01-09-2018 18:32,2018,9,Saturday,18,Part Three,RIVER ST,42.27136131,-71.0810083,"(42.27136131, -71.08100830)"
I182070358,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),E18,520,,01-09-2018 18:00,2018,9,Saturday,18,Other,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)"
I182070357,2905,Violations,VAL - OPERATING WITHOUT LICENSE,E5,682,,01-09-2018 17:54,2018,9,Saturday,17,Part Two,DURNELL AVE,42.28585449,-71.13761496,"(42.28585449, -71.13761496)"
I182070357,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,E5,682,,01-09-2018 17:54,2018,9,Saturday,17,Part Two,DURNELL AVE,42.28585449,-71.13761496,"(42.28585449, -71.13761496)"
I182070356,3115,Investigate Person,INVESTIGATE PERSON,E13,641,,01-09-2018 18:24,2018,9,Saturday,18,Part Three,CENTRE ST,42.31674811,-71.11356249,"(42.31674811, -71.11356249)"
I182070355,3301,Verbal Disputes,VERBAL DISPUTE,D14,938,,01-09-2018 18:14,2018,9,Saturday,18,Part Three,JETTE CT,42.3468275,-71.14319087,"(42.34682750, -71.14319087)"
I182070354,1402,Vandalism,VANDALISM,C11,462,,29-08-2018 22:00,2018,8,Wednesday,22,Part Two,BOWDOIN AVE,42.30090969,-71.07425843,"(42.30090969, -71.07425843)"
I182070353,612,Larceny,LARCENY PURSE SNATCH - NO FORCE ,A1,117,,01-09-2018 14:20,2018,9,Saturday,14,Part One,BOYLSTON ST,42.3523411,-71.06432465,"(42.35234110, -71.06432465)"
I182070352,3410,Towed,TOWED MOTOR VEHICLE,D4,138,,01-09-2018 16:03,2018,9,Saturday,16,Part Three,NEWBURY ST,42.3494205,-71.083158,"(42.34942050, -71.08315800)"
I182070350,3115,Investigate Person,INVESTIGATE PERSON,C6,212,,01-09-2018 17:20,2018,9,Saturday,17,Part Three,DORCHESTER ST,42.33686889,-71.04379437,"(42.33686889, -71.04379437)"
I182070349,560,Other Burglary,BURGLARY - OTHER - FORCE,E18,519,,27-08-2018 19:20,2018,8,Monday,19,Part One,FAIRMOUNT AVE,42.2539599,-71.11962283,"(42.25395990, -71.11962283)"
I182070348,3115,Investigate Person,INVESTIGATE PERSON,D14,786,,01-09-2018 17:55,2018,9,Saturday,17,Part Three,COMMONWEALTH AVE,42.34251263,-71.14363495,"(42.34251263, -71.14363495)"
I182070347,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,332,,01-09-2018 16:42,2018,9,Saturday,16,Part Three,GLEN ST,42.31282319,-71.06746355,"(42.31282319, -71.06746355)"
I182070346,619,Larceny,LARCENY ALL OTHERS,B2,587,,31-08-2018 19:00,2018,8,Friday,19,Part One,BURNEY ST,42.33188687,-71.0995439,"(42.33188687, -71.09954390)"
I182070344,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E5,563,,01-09-2018 17:34,2018,9,Saturday,17,Part Three,FAWNDALE RD,42.29011783,-71.12187904,"(42.29011783, -71.12187904)"
I182070343,2647,Other,THREATS TO DO BODILY HARM,B3,406,,29-08-2018 11:50,2018,8,Wednesday,11,Part Two,SOUTHMERE RD,42.27038654,-71.08451378,"(42.27038654, -71.08451378)"
I182070342,381,Robbery,ROBBERY - CAR JACKING,E18,490,,01-09-2018 17:05,2018,9,Saturday,17,Part One,CUMMINS HWY,42.27645319,-71.11297971,"(42.27645319, -71.11297971)"
I182070342,2647,Other,THREATS TO DO BODILY HARM,E18,490,,01-09-2018 17:05,2018,9,Saturday,17,Part Two,CUMMINS HWY,42.27645319,-71.11297971,"(42.27645319, -71.11297971)"
I182070341,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",, ,,01-09-2018 17:32,2018,9,Saturday,17,Part Two,,42.29013465,-71.08624927,"(42.29013465, -71.08624927)"
I182070340,613,Larceny,LARCENY SHOPLIFTING,B2,311,,01-09-2018 16:23,2018,9,Saturday,16,Part One,BLUE HILL AVE,42.3160569,-71.07820017,"(42.31605690, -71.07820017)"
I182070339,3402,Service,ANIMAL INCIDENTS,D14,795,,01-09-2018 17:52,2018,9,Saturday,17,Part Three,ALLSTON ST,42.35042346,-71.13638086,"(42.35042346, -71.13638086)"
I182070338,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),D14,939,,01-09-2018 17:18,2018,9,Saturday,17,Other,FANEUIL ST,42.35555336,-71.15274721,"(42.35555336, -71.15274721)"
I182070337,3115,Investigate Person,INVESTIGATE PERSON,B2,282,,01-09-2018 17:48,2018,9,Saturday,17,Part Three,WASHINGTON ST,42.32866284,-71.08563401,"(42.32866284, -71.08563401)"
I182070335,1402,Vandalism,VANDALISM,C6,206,,01-09-2018 17:02,2018,9,Saturday,17,Part Two,SLEEPER ST,42.35217524,-71.04913425,"(42.35217524, -71.04913425)"
I182070334,724,Auto Theft,AUTO THEFT,B2,326,,01-09-2018 16:24,2018,9,Saturday,16,Part One,BLUE HILL AVE,42.31162834,-71.08094294,"(42.31162834, -71.08094294)"
I182070333,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,, ,,01-09-2018 16:45,2018,9,Saturday,16,Part Three,,42.31190268,-71.08073292,"(42.31190268, -71.08073292)"
I182070332,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,908,,01-09-2018 17:05,2018,9,Saturday,17,Part Two,SHANDON RD,42.29505434,-71.08904077,"(42.29505434, -71.08904077)"
I182070331,724,Auto Theft,AUTO THEFT,C11,235,,01-09-2018 16:15,2018,9,Saturday,16,Part One,CARSON ST,42.3197573,-71.05428941,"(42.31975730, -71.05428941)"
I182070330,3119,Firearm Discovery,FIREARM/WEAPON - FOUND OR CONFISCATED,E5,558,,01-09-2018 15:00,2018,9,Saturday,15,Part Three,HEATHCOTE ST,42.28166155,-71.12591039,"(42.28166155, -71.12591039)"
I182070329,3115,Investigate Person,INVESTIGATE PERSON,C11,257,,01-09-2018 17:13,2018,9,Saturday,17,Part Three,HANCOCK ST,42.310434,-71.0613401,"(42.31043400, -71.06134010)"
I182070328,3115,Investigate Person,INVESTIGATE PERSON,E5,822,,20-08-2018 12:00,2018,8,Monday,12,Part Three,EDGEMERE RD,42.25867638,-71.15116479,"(42.25867638, -71.15116479)"
I182070327,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,E5,680,,01-09-2018 16:21,2018,9,Saturday,16,Part Two,WASHINGTON ST,42.28537376,-71.12928626,"(42.28537376, -71.12928626)"
I182070327,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,E5,680,,01-09-2018 16:21,2018,9,Saturday,16,Part Two,WASHINGTON ST,42.28537376,-71.12928626,"(42.28537376, -71.12928626)"
I182070327,1815,Drug Violation,DRUGS - POSSESSION,E5,680,,01-09-2018 16:21,2018,9,Saturday,16,Part Two,WASHINGTON ST,42.28537376,-71.12928626,"(42.28537376, -71.12928626)"
I182070326,1402,Vandalism,VANDALISM,E5,682,,31-08-2018 16:30,2018,8,Friday,16,Part Two,WALWORTH ST,42.2821665,-71.13732337,"(42.28216650, -71.13732337)"
I182070325,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,434,,01-09-2018 16:41,2018,9,Saturday,16,Part Two,THETFORD AVE,42.28465991,-71.07839997,"(42.28465991, -71.07839997)"
I182070325,2647,Other,THREATS TO DO BODILY HARM,B3,434,,01-09-2018 16:41,2018,9,Saturday,16,Part Two,THETFORD AVE,42.28465991,-71.07839997,"(42.28465991, -71.07839997)"
I182070324,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C6,192,,01-09-2018 15:59,2018,9,Saturday,15,Part One,MOHAWK ST,42.3289371,-71.05571742,"(42.32893710, -71.05571742)"
I182070323,613,Larceny,LARCENY SHOPLIFTING,D4,129,,01-09-2018 15:53,2018,9,Saturday,15,Part One,BOYLSTON ST,42.35095909,-71.0741278,"(42.35095909, -71.07412780)"
I182070322,3125,Warrant Arrests,WARRANT ARREST,B2,280,,01-09-2018 16:04,2018,9,Saturday,16,Part Three,WARREN ST,42.32902469,-71.08341505,"(42.32902469, -71.08341505)"
I182070321,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6,231,,01-09-2018 16:18,2018,9,Saturday,16,Part Three,SWALLOW ST,42.33362325,-71.0301924,"(42.33362325, -71.03019240)"
I182070319,3125,Warrant Arrests,WARRANT ARREST,B2,238,,01-09-2018 16:06,2018,9,Saturday,16,Part Three,QUINCEFIELD ST,42.31873011,-71.06660708,"(42.31873011, -71.06660708)"
I182070318,3410,Towed,TOWED MOTOR VEHICLE,D4,144,,01-09-2018 13:57,2018,9,Saturday,13,Part Three,SAINT GERMAIN ST,42.34571916,-71.08562464,"(42.34571916, -71.08562464)"
I182070317,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,456,,01-09-2018 14:43,2018,9,Saturday,14,Part Two,GREENWOOD ST,42.3008484,-71.07982055,"(42.30084840, -71.07982055)"
I182070316,3410,Towed,TOWED MOTOR VEHICLE,, ,,01-09-2018 15:00,2018,9,Saturday,15,Part Three,,42.35491419,-71.14414913,"(42.35491419, -71.14414913)"
I182070315,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,B2,288,,31-08-2018 19:00,2018,8,Friday,19,Part Three,ROXBURY ST,42.32952036,-71.08530641,"(42.32952036, -71.08530641)"
I182070314,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,B2,317,,01-09-2018 15:07,2018,9,Saturday,15,Part Three,HUMBOLDT AVE,42.31262432,-71.08991596,"(42.31262432, -71.08991596)"
I182070313,3410,Towed,TOWED MOTOR VEHICLE,D14,783,,01-09-2018 13:18,2018,9,Saturday,13,Part Three,GORDON ST,42.34966796,-71.13995527,"(42.34966796, -71.13995527)"
I182070312,3115,Investigate Person,INVESTIGATE PERSON,A7,29,,01-09-2018 15:00,2018,9,Saturday,15,Part Three,MAVERICK SQ,42.36943145,-71.03917179,"(42.36943145, -71.03917179)"
I182070311,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,116,,01-09-2018 14:30,2018,9,Saturday,14,Part Three,OXFORD ST,42.35193461,-71.06048592,"(42.35193461, -71.06048592)"
I182070310,3301,Verbal Disputes,VERBAL DISPUTE,B3,442,,01-09-2018 13:50,2018,9,Saturday,13,Part Three,BROWNING AVE,42.29415023,-71.08175047,"(42.29415023, -71.08175047)"
I182070309,361,Robbery,ROBBERY - OTHER,D4,151,,01-09-2018 15:00,2018,9,Saturday,15,Part One,BERKELEY ST,42.3460551,-71.07050669,"(42.34605510, -71.07050669)"
I182070309,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,151,,01-09-2018 15:00,2018,9,Saturday,15,Part Two,BERKELEY ST,42.3460551,-71.07050669,"(42.34605510, -71.07050669)"
I182070308,3810,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING  BICYCLE - INJURY,, ,,01-09-2018 14:32,2018,9,Saturday,14,Part Three,,42.33291214,-71.09235717,"(42.33291214, -71.09235717)"
I182070307,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,E13,510,,01-09-2018 15:01,2018,9,Saturday,15,Part Two,WASHINGTON ST,42.30055518,-71.11312439,"(42.30055518, -71.11312439)"
I182070306,3301,Verbal Disputes,VERBAL DISPUTE,C11,400,,01-09-2018 14:26,2018,9,Saturday,14,Part Three,MELLEN ST,42.28584895,-71.06935381,"(42.28584895, -71.06935381)"
I182070305,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,E13,569,,01-09-2018 14:48,2018,9,Saturday,14,Part Three,WASHINGTON ST,42.30307413,-71.11081856,"(42.30307413, -71.11081856)"
I182070305,2905,Violations,VAL - OPERATING WITHOUT LICENSE,E13,569,,01-09-2018 14:48,2018,9,Saturday,14,Part Two,WASHINGTON ST,42.30307413,-71.11081856,"(42.30307413, -71.11081856)"
I182070304,1107,Fraud,FRAUD - IMPERSONATION,D4,905,,01-11-2017 00:00,2017,11,Wednesday,0,Part Two,E BROOKLINE ST,42.33926764,-71.07208833,"(42.33926764, -71.07208833)"
I182070302,423,Aggravated Assault,ASSAULT - AGGRAVATED,B2,238,,01-09-2018 14:26,2018,9,Saturday,14,Part One,QUINCEFIELD ST,42.31873011,-71.06660708,"(42.31873011, -71.06660708)"
I182070301,1402,Vandalism,VANDALISM,B2,304,,31-08-2018 20:15,2018,8,Friday,20,Part Two,MARCELLA ST,42.32102023,-71.09352344,"(42.32102023, -71.09352344)"
I182070300,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,453,,01-09-2018 10:00,2018,9,Saturday,10,Part Three,WASHINGTON ST,42.2969072,-71.07233558,"(42.29690720, -71.07233558)"
I182070298,3301,Verbal Disputes,VERBAL DISPUTE,C11,337,,01-09-2018 14:11,2018,9,Saturday,14,Part Three,OLNEY ST,42.30512773,-71.07370747,"(42.30512773, -71.07370747)"
I182070297,3207,Property Found,PROPERTY - FOUND,A1,86,,01-09-2018 13:25,2018,9,Saturday,13,Part Three,SALEM ST,42.36423881,-71.05556016,"(42.36423881, -71.05556016)"
I182070296,3207,Property Found,PROPERTY - FOUND,C11,335,,01-09-2018 12:44,2018,9,Saturday,12,Part Three,QUINCY ST,42.30947016,-71.06664424,"(42.30947016, -71.06664424)"
I182070294,3201,Property Lost,PROPERTY - LOST,E18,522,,31-08-2018 16:30,2018,8,Friday,16,Part Three,HYDE PARK AVE,42.2518944,-71.1253531,"(42.25189440, -71.12535310)"
I182070292,3114,Investigate Property,INVESTIGATE PROPERTY,E5,734,,01-09-2018 13:55,2018,9,Saturday,13,Part Three,POTOMAC ST,42.28678471,-71.16356912,"(42.28678471, -71.16356912)"
I182070291,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,A7,17,,01-09-2018 13:40,2018,9,Saturday,13,Part Three,CHELSEA ST,42.38064028,-71.02628915,"(42.38064028, -71.02628915)"
I182070290,1402,Vandalism,VANDALISM,B2,261,,31-08-2018 23:30,2018,8,Friday,23,Part Two,BROOK AVE,42.32047753,-71.07273673,"(42.32047753, -71.07273673)"
I182070290,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,261,,31-08-2018 23:30,2018,8,Friday,23,Part One,BROOK AVE,42.32047753,-71.07273673,"(42.32047753, -71.07273673)"
I182070289,3410,Towed,TOWED MOTOR VEHICLE,C6,187,,01-09-2018 12:00,2018,9,Saturday,12,Part Three,HOWELL ST,42.32491951,-71.05726305,"(42.32491951, -71.05726305)"
I182070288,2101,Operating Under the Influence,OPERATING UNDER THE INFLUENCE ALCOHOL,B2,288,,01-09-2018 13:20,2018,9,Saturday,13,Part Two,ROXBURY ST,42.3296087,-71.08462109,"(42.32960870, -71.08462109)"
I182070288,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,B2,288,,01-09-2018 13:20,2018,9,Saturday,13,Part Two,ROXBURY ST,42.3296087,-71.08462109,"(42.32960870, -71.08462109)"
I182070287,3410,Towed,TOWED MOTOR VEHICLE,D14,793,,01-09-2018 12:09,2018,9,Saturday,12,Part Three,ROYCE RD,42.34914832,-71.131573,"(42.34914832, -71.13157300)"
I182070287,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,D14,793,,01-09-2018 12:09,2018,9,Saturday,12,Part Three,ROYCE RD,42.34914832,-71.131573,"(42.34914832, -71.13157300)"
I182070286,3115,Investigate Person,INVESTIGATE PERSON,C11,360,,01-09-2018 13:14,2018,9,Saturday,13,Part Three,PARK ST,42.29753608,-71.0644598,"(42.29753608, -71.06445980)"
I182070284,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,452,,01-09-2018 13:37,2018,9,Saturday,13,Part One,KENBERMA RD,42.29574022,-71.07322638,"(42.29574022, -71.07322638)"
I182070283,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,, ,,01-09-2018 12:42,2018,9,Saturday,12,Part Three,,42.30151745,-71.05979924,"(42.30151745, -71.05979924)"
I182070282,2610,Other,TRESPASSING,D14,808,,31-08-2018 16:00,2018,8,Friday,16,Part Two,ANTWERP ST,42.35939228,-71.14002093,"(42.35939228, -71.14002093)"
I182070281,612,Larceny,LARCENY PURSE SNATCH - NO FORCE ,D4,143,,01-09-2018 11:00,2018,9,Saturday,11,Part One,BOYLSTON ST,42.34862382,-71.08277637,"(42.34862382, -71.08277637)"
I182070280,3115,Investigate Person,INVESTIGATE PERSON,E18,483,,01-09-2018 12:03,2018,9,Saturday,12,Part Three,MONPONSET ST,42.26368029,-71.09968298,"(42.26368029, -71.09968298)"
I182070279,3301,Verbal Disputes,VERBAL DISPUTE,A1,92,,01-09-2018 12:50,2018,9,Saturday,12,Part Three,COURT ST,42.35892279,-71.05835354,"(42.35892279, -71.05835354)"
I182070277,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,429,,01-09-2018 12:42,2018,9,Saturday,12,Part Three,THEODORE ST,42.28406985,-71.0882492,"(42.28406985, -71.08824920)"
I182070276,3410,Towed,TOWED MOTOR VEHICLE,C6,194,,01-09-2018 12:08,2018,9,Saturday,12,Part Three,DORCHESTER ST,42.3301111,-71.05611033,"(42.33011110, -71.05611033)"
I182070275,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E5,680,,30-08-2018 12:30,2018,8,Thursday,12,Part Three,CORINTH ST,42.28593201,-71.12933705,"(42.28593201, -71.12933705)"
I182070274,3410,Towed,TOWED MOTOR VEHICLE,E13,509,,01-09-2018 11:56,2018,9,Saturday,11,Part Three,WOODLAWN ST,42.29860932,-71.11223703,"(42.29860932, -71.11223703)"
I182070273,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E13,576,,01-09-2018 12:41,2018,9,Saturday,12,Part Three,AMORY ST,42.31532445,-71.10427615,"(42.31532445, -71.10427615)"
I182070272,3115,Investigate Person,INVESTIGATE PERSON,E18,501,,01-09-2018 12:22,2018,9,Saturday,12,Part Three,HYDE PARK AVE,42.27930648,-71.1190981,"(42.27930648, -71.11909810)"
I182070270,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,458,,01-09-2018 11:52,2018,9,Saturday,11,Part Two,BLUE HILL AVE,42.30238881,-71.08539388,"(42.30238881, -71.08539388)"
I182070270,3301,Verbal Disputes,VERBAL DISPUTE,B3,458,,01-09-2018 11:52,2018,9,Saturday,11,Part Three,BLUE HILL AVE,42.30238881,-71.08539388,"(42.30238881, -71.08539388)"
I182070269,3301,Verbal Disputes,VERBAL DISPUTE,B3,420,,01-09-2018 12:15,2018,9,Saturday,12,Part Three,LORNA RD,42.27974378,-71.08248818,"(42.27974378, -71.08248818)"
I182070268,3114,Investigate Property,INVESTIGATE PROPERTY,C11,333,,01-09-2018 12:04,2018,9,Saturday,12,Part Three,COLUMBIA RD,42.31069804,-71.07119068,"(42.31069804, -71.07119068)"
I182070267,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C6,206,,01-09-2018 11:48,2018,9,Saturday,11,Part Two,CONGRESS ST,42.35096784,-71.0494023,"(42.35096784, -71.04940230)"
I182070266,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,E5,697,,01-09-2018 11:15,2018,9,Saturday,11,Part Three,ANAWAN AVE,42.28469218,-71.14804192,"(42.28469218, -71.14804192)"
I182070264,3201,Property Lost,PROPERTY - LOST,C6,186,,27-08-2018 21:30,2018,8,Monday,21,Part Three,ALLSTATE RD,42.32809966,-71.06321676,"(42.32809966, -71.06321676)"
I182070263,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,B2,291,,01-09-2018 12:24,2018,9,Saturday,12,Part Two,CENTRE ST,42.32955354,-71.09357444,"(42.32955354, -71.09357444)"
I182070262,3410,Towed,TOWED MOTOR VEHICLE,D14,778,,01-09-2018 09:00,2018,9,Saturday,9,Part Three,WASHINGTON ST,42.349056,-71.1504985,"(42.34905600, -71.15049850)"
I182070261,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",, ,,01-09-2018 11:21,2018,9,Saturday,11,Part Two,,42.35238395,-71.06453754,"(42.35238395, -71.06453754)"
I182070258,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,757,,01-09-2018 04:00,2018,9,Saturday,4,Part Three,GERRISH ST,42.35603003,-71.16390698,"(42.35603003, -71.16390698)"
I182070257,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,757,,01-09-2018 04:00,2018,9,Saturday,4,Part Three,GERRISH ST,42.35603003,-71.16390698,"(42.35603003, -71.16390698)"
I182070256,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,D14,809,,01-09-2018 11:21,2018,9,Saturday,11,Part One,ADAMSON ST,42.35858441,-71.13726609,"(42.35858441, -71.13726609)"
I182070256,1402,Vandalism,VANDALISM,D14,809,,01-09-2018 11:21,2018,9,Saturday,11,Part Two,ADAMSON ST,42.35858441,-71.13726609,"(42.35858441, -71.13726609)"
I182070255,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,251,,31-08-2018 09:00,2018,8,Friday,9,Part Three,CASTLE ROCK ST,42.31086085,-71.05163543,"(42.31086085, -71.05163543)"
